               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11616,            0.030637,            0.063362,           0.0004107,             0.13182,          0.00061646,            0.000175,             0.10268,            0.028648,            0.062353,              0.0955,              0.0005,              0.0005
                   1,             0.10561,            0.030293,            0.062357,           0.0011031,             0.32424,            0.015785,            0.002157,            0.089754,            0.029107,            0.058325,            0.090095,           0.0010946,           0.0010946
                   2,            0.089337,            0.032934,            0.058797,           0.0025395,             0.72506,            0.012534,           0.0034177,            0.071285,            0.030083,            0.055871,            0.084683,           0.0016832,           0.0016832
                   3,            0.076255,             0.03495,            0.057284,           0.0031471,              0.8524,            0.060333,            0.015222,            0.063475,            0.030003,            0.054975,            0.079266,           0.0022658,           0.0022658
                   4,            0.068533,            0.030687,            0.057134,            0.003591,             0.96591,            0.096695,            0.030659,            0.062228,            0.028087,            0.054636,            0.073843,           0.0028426,           0.0028426
                   5,            0.066446,            0.030813,            0.055668,           0.0035248,             0.98864,             0.19343,            0.045206,            0.054022,            0.027602,             0.05349,            0.068413,           0.0034134,           0.0034134
                   6,             0.06306,            0.033623,            0.055516,           0.0035052,                   1,             0.17937,            0.042786,            0.057088,            0.025591,            0.052607,            0.062978,           0.0039782,           0.0039782
                   7,            0.058171,            0.029223,            0.054335,           0.0035056,                   1,             0.26068,            0.063381,            0.061551,            0.022416,            0.052904,            0.057537,           0.0045371,           0.0045371
                   8,             0.06161,            0.029347,            0.054132,           0.0038002,                   1,             0.38383,             0.14547,             0.05212,            0.023362,            0.052085,             0.05209,           0.0050901,           0.0050901
                   9,            0.061759,            0.027438,            0.053701,           0.0037809,                   1,             0.42278,             0.14368,            0.053417,            0.021834,            0.050952,            0.046637,           0.0056372,           0.0056372
                  10,            0.062522,            0.026377,            0.052229,            0.004309,                   1,             0.52842,             0.19067,            0.049475,            0.021777,            0.048874,            0.041178,           0.0061782,           0.0061782
                  11,            0.059599,            0.026325,             0.05118,            0.036628,                   1,              0.4553,             0.15258,             0.04885,             0.01963,             0.04805,            0.035713,           0.0067134,           0.0067134
                  12,            0.058625,            0.025619,            0.050425,             0.16274,             0.87361,             0.43215,             0.12024,            0.052181,            0.017882,            0.047066,            0.030243,           0.0072426,           0.0072426
                  13,            0.060158,            0.023202,            0.049443,             0.58088,             0.30132,             0.45246,             0.16152,            0.049877,            0.017147,            0.045119,            0.024766,           0.0077659,           0.0077659
                  14,            0.057245,            0.024404,            0.047567,              0.6631,             0.34008,             0.49841,             0.23264,            0.063302,            0.014003,            0.044391,            0.019283,           0.0082832,           0.0082832
                  15,            0.056909,            0.019982,            0.045628,             0.29537,             0.38987,             0.35971,             0.10948,            0.068905,            0.012656,             0.04258,            0.013795,           0.0087946,           0.0087946
                  16,            0.062167,            0.018574,            0.046715,             0.26112,             0.33085,             0.29894,             0.13533,            0.053082,            0.015059,            0.042504,            0.009208,            0.009208,            0.009208
                  17,            0.061241,             0.02005,            0.045094,             0.48863,             0.47062,             0.52611,             0.23807,            0.049965,            0.013686,            0.043706,            0.009208,            0.009208,            0.009208
                  18,            0.056539,            0.019437,            0.043648,             0.34099,             0.53428,             0.39566,             0.16454,            0.061925,             0.01234,            0.039981,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056082,            0.019427,            0.041471,             0.40141,             0.61554,             0.63112,              0.2951,            0.052005,            0.012349,            0.039202,            0.009109,            0.009109,            0.009109
                  20,            0.053095,            0.017047,            0.039847,             0.36996,             0.72588,             0.58995,             0.16271,            0.054374,            0.011718,            0.040588,           0.0090595,           0.0090595,           0.0090595
                  21,            0.053726,            0.017484,            0.040286,             0.56946,             0.76856,             0.81532,             0.44427,            0.042967,             0.01215,            0.035167,             0.00901,             0.00901,             0.00901
                  22,            0.053447,            0.015774,            0.038012,             0.37683,             0.74602,             0.47756,             0.20373,            0.058264,            0.011856,            0.033234,           0.0089605,           0.0089605,           0.0089605
                  23,            0.053853,            0.015918,            0.037949,             0.46292,             0.77321,              0.7277,             0.39002,            0.055754,            0.010584,            0.032144,            0.008911,            0.008911,            0.008911
                  24,            0.055246,            0.013264,            0.036604,             0.63996,             0.81823,             0.83967,             0.32477,            0.044774,            0.011282,            0.032944,           0.0088615,           0.0088615,           0.0088615
                  25,            0.050647,            0.014058,            0.034278,              0.5421,              0.8533,             0.64237,             0.29774,             0.05088,            0.010735,             0.03125,            0.008812,            0.008812,            0.008812
                  26,            0.053746,            0.013336,            0.033309,             0.53234,             0.91544,             0.75637,             0.33097,            0.044985,            0.011402,            0.029858,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048496,             0.01419,            0.033756,             0.63984,             0.84451,             0.79295,             0.42559,            0.049458,            0.010178,            0.028066,            0.008713,            0.008713,            0.008713
                  28,            0.051991,            0.012261,            0.031755,             0.66534,             0.85404,             0.81236,             0.41012,            0.040699,            0.010446,            0.028222,           0.0086635,           0.0086635,           0.0086635
                  29,            0.052131,            0.011031,             0.03115,             0.68099,             0.90114,              0.8271,              0.4687,            0.038483,           0.0099594,            0.025735,            0.008614,            0.008614,            0.008614
                  30,            0.045216,            0.011586,            0.030125,             0.66572,             0.89585,             0.88439,             0.44387,             0.03897,            0.009716,            0.025659,           0.0085645,           0.0085645,           0.0085645
                  31,            0.042162,            0.011345,            0.030372,             0.82294,              0.7202,             0.83298,             0.44418,            0.048907,           0.0092306,            0.024382,            0.008515,            0.008515,            0.008515
                  32,            0.047962,            0.010499,            0.029058,             0.68818,             0.88463,             0.84405,             0.48296,            0.037085,           0.0095605,            0.023796,           0.0084655,           0.0084655,           0.0084655
                  33,            0.044317,            0.012622,             0.02857,             0.59111,             0.86862,             0.75705,             0.42421,            0.043951,           0.0089418,            0.023403,            0.008416,            0.008416,            0.008416
                  34,            0.049706,            0.011323,            0.027287,              0.6761,             0.81255,             0.77311,             0.41204,            0.041197,           0.0087947,            0.022903,           0.0083665,           0.0083665,           0.0083665
                  35,            0.044386,           0.0099508,            0.025669,             0.50749,             0.91447,              0.7779,             0.40852,            0.048529,           0.0084883,            0.021215,            0.008317,            0.008317,            0.008317
                  36,            0.050485,            0.010507,            0.027242,             0.69545,             0.85227,             0.81714,             0.43224,            0.038648,           0.0083693,            0.020667,           0.0082675,           0.0082675,           0.0082675
                  37,            0.044134,            0.011858,            0.026931,             0.75456,             0.92595,             0.94957,             0.48995,            0.036973,           0.0080304,            0.019414,            0.008218,            0.008218,            0.008218
                  38,            0.042863,            0.011364,            0.024398,             0.82049,             0.82551,             0.89833,             0.49597,             0.04065,             0.00809,            0.018775,           0.0081685,           0.0081685,           0.0081685
                  39,            0.043881,            0.010666,             0.02405,             0.64663,             0.95644,             0.91054,             0.46818,            0.040958,           0.0080441,            0.018073,            0.008119,            0.008119,            0.008119
                  40,            0.043989,            0.010573,            0.023034,              0.8142,             0.95694,             0.97167,             0.52724,             0.03293,           0.0077716,            0.017768,           0.0080695,           0.0080695,           0.0080695
                  41,            0.042786,           0.0095556,             0.02107,             0.87597,             0.97817,             0.99013,             0.58888,            0.030467,            0.007705,            0.016793,             0.00802,             0.00802,             0.00802
                  42,            0.041203,             0.01136,             0.01973,             0.62856,             0.95018,             0.87338,             0.40486,            0.047035,            0.007874,            0.016383,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040678,           0.0098309,            0.021806,             0.94042,             0.99879,               0.995,             0.63725,            0.032377,           0.0075147,            0.015562,            0.007921,            0.007921,            0.007921
                  44,            0.038534,            0.011088,            0.020174,             0.84029,             0.99705,             0.95424,             0.54214,            0.034304,           0.0074311,            0.015129,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038787,           0.0086813,            0.018318,             0.80412,             0.98926,             0.95566,             0.59088,            0.031033,           0.0071979,            0.014714,            0.007822,            0.007822,            0.007822
                  46,            0.040049,           0.0098559,            0.017474,             0.72364,             0.96937,             0.92661,             0.54389,            0.034263,           0.0072813,            0.014251,           0.0077725,           0.0077725,           0.0077725
                  47,              0.0347,           0.0097864,            0.016372,             0.79176,             0.98377,             0.93281,             0.59034,            0.032221,           0.0071774,             0.01316,            0.007723,            0.007723,            0.007723
                  48,            0.039302,           0.0091702,             0.01802,              0.7739,             0.97835,             0.94315,             0.54425,            0.034433,           0.0072746,            0.013356,           0.0076735,           0.0076735,           0.0076735
                  49,            0.038769,           0.0097906,            0.016172,             0.77796,             0.98915,             0.95874,             0.59808,            0.034911,           0.0075918,            0.012682,            0.007624,            0.007624,            0.007624
                  50,            0.040887,           0.0091625,            0.015424,             0.68977,             0.98972,             0.89658,             0.53865,            0.035339,           0.0075597,            0.012144,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03873,           0.0092171,            0.015398,             0.82097,             0.99083,              0.9778,             0.63901,            0.035227,           0.0069626,            0.011591,            0.007525,            0.007525,            0.007525
                  52,             0.03986,           0.0086986,            0.016135,             0.86266,             0.99609,             0.92861,             0.66481,            0.030408,           0.0068831,            0.011444,           0.0074755,           0.0074755,           0.0074755
                  53,            0.037647,           0.0094513,            0.016627,              0.9628,             0.99941,               0.995,             0.64807,            0.031137,           0.0068297,            0.010392,            0.007426,            0.007426,            0.007426
                  54,            0.037769,           0.0079833,            0.013185,             0.71137,             0.97727,              0.8341,             0.46873,            0.040324,            0.007412,           0.0097975,           0.0073765,           0.0073765,           0.0073765
                  55,            0.039315,            0.008166,            0.013374,             0.86136,             0.96591,             0.96686,             0.53253,            0.035205,           0.0070935,           0.0094033,            0.007327,            0.007327,            0.007327
                  56,            0.036614,           0.0091511,            0.014229,             0.97917,                   1,               0.995,             0.72049,            0.025823,           0.0065991,           0.0091787,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033759,           0.0083856,            0.012021,             0.95482,             0.99451,             0.99406,             0.63027,             0.02674,           0.0066397,           0.0084628,            0.007228,            0.007228,            0.007228
                  58,            0.036287,           0.0086517,            0.012642,             0.85367,             0.98169,             0.95547,             0.60505,             0.03379,           0.0068685,           0.0081538,           0.0071785,           0.0071785,           0.0071785
                  59,            0.035031,           0.0084452,            0.010898,             0.80508,             0.96314,             0.93173,             0.54538,            0.034883,            0.006911,           0.0079312,            0.007129,            0.007129,            0.007129
                  60,            0.035248,           0.0087511,            0.012862,             0.93808,             0.99501,             0.98395,             0.70237,             0.02464,           0.0064765,           0.0078336,           0.0070795,           0.0070795,           0.0070795
                  61,             0.03743,           0.0091168,            0.010963,             0.89954,              0.9961,             0.97053,             0.61644,            0.030537,           0.0066403,           0.0073124,             0.00703,             0.00703,             0.00703
                  62,            0.035944,           0.0090529,            0.010664,             0.90053,                   1,             0.98019,             0.67021,            0.027155,           0.0063649,           0.0072405,           0.0069805,           0.0069805,           0.0069805
                  63,            0.031532,           0.0078028,            0.011188,             0.96469,             0.99745,               0.995,             0.67422,            0.028388,           0.0063548,           0.0070769,            0.006931,            0.006931,            0.006931
                  64,            0.032723,           0.0072586,            0.012833,             0.94965,                   1,             0.99159,             0.68015,            0.025675,           0.0063777,            0.006834,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031126,            0.008473,            0.011626,             0.97039,                   1,             0.99273,             0.62129,              0.0295,           0.0065385,           0.0061805,            0.006832,            0.006832,            0.006832
                  66,            0.033702,           0.0092136,            0.010534,             0.98004,                   1,               0.995,             0.60235,            0.028189,            0.006452,           0.0059965,           0.0067825,           0.0067825,           0.0067825
                  67,            0.033296,           0.0074439,            0.010077,              0.9733,                   1,               0.995,             0.68416,            0.027638,           0.0064452,           0.0058052,            0.006733,            0.006733,            0.006733
                  68,            0.032734,           0.0085608,           0.0087912,             0.95574,                   1,             0.98346,             0.62018,            0.028012,           0.0064704,           0.0059672,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031066,           0.0088562,           0.0091878,             0.83592,             0.98521,             0.95926,             0.62897,            0.028342,           0.0063816,           0.0055983,            0.006634,            0.006634,            0.006634
                  70,            0.033774,           0.0075723,           0.0090618,             0.98694,                   1,               0.995,             0.68654,            0.026543,           0.0061866,           0.0055421,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032265,           0.0086224,           0.0085958,             0.88682,             0.98324,             0.97131,             0.65943,            0.027024,           0.0061894,           0.0054203,            0.006535,            0.006535,            0.006535
                  72,            0.032397,           0.0084188,           0.0082513,              0.9838,                   1,               0.995,             0.67702,            0.028908,           0.0062911,           0.0054018,           0.0064855,           0.0064855,           0.0064855
                  73,             0.03265,           0.0084196,           0.0090334,              0.9637,             0.98478,               0.995,             0.63328,            0.028341,            0.006203,           0.0052596,            0.006436,            0.006436,            0.006436
                  74,            0.032968,           0.0082894,           0.0087998,             0.95413,                   1,              0.9878,             0.67994,            0.025806,           0.0059588,           0.0052132,           0.0063865,           0.0063865,           0.0063865
                  75,            0.031452,           0.0066766,           0.0093479,             0.93225,             0.98289,             0.98736,             0.73348,            0.025976,           0.0058733,           0.0054186,            0.006337,            0.006337,            0.006337
                  76,            0.031591,           0.0069807,           0.0093334,             0.97876,                   1,               0.995,             0.67864,            0.026526,           0.0061081,           0.0055142,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026535,           0.0073498,           0.0085552,             0.88562,               0.975,             0.98616,              0.6474,            0.027701,           0.0059337,           0.0054011,            0.006238,            0.006238,            0.006238
                  78,            0.031874,           0.0080553,           0.0083526,              0.9229,                   1,             0.99219,             0.67453,            0.023427,            0.005825,           0.0053332,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027351,           0.0087571,           0.0075335,             0.97365,                   1,               0.995,             0.63899,            0.025667,           0.0059155,           0.0052505,            0.006139,            0.006139,            0.006139
                  80,            0.029503,           0.0069541,           0.0072448,             0.96699,                   1,             0.99041,             0.73173,            0.024169,           0.0057525,           0.0049231,           0.0060895,           0.0060895,           0.0060895
                  81,            0.028044,           0.0079323,           0.0075221,             0.95739,                   1,              0.9902,             0.70239,            0.027027,           0.0060145,           0.0044805,             0.00604,             0.00604,             0.00604
